location,state,year,lat,long,Primary Funding Source ,fund_source,fund_type,length,volume,actual_cost,2013 CF$,cost_2013,$/CY,CY/Foot,Other Funding Info,Source/Comment
Absecon Island: Atlantic City,NJ,1995,39.357595,-74.421816,State,State,Unknown,"5,280.00",0.00,0.00,0.641,0.00,,,,
Absecon Island: Atlantic City,NJ,1997,39.357595,-74.421816,State,State,Shore Protection,0.00,"450,000.00",0.00,0.676,0.00,,,,
Absecon Island: Atlantic City,NJ,2004,39.357595,-74.421816,Federal,Federal,Shore Protection,"18,250.00","4,000,000.00","27,384,615.00",0.793,"34,532,931.90",,,,
Absecon Island: Atlantic City,NJ,2011,39.357595,-74.421816,Federal,Federal,Emergency,"3,600.00","1,003,000.00","7,658,450.00",0.964,"7,944,450.21",http://www.pressofatlanticcity.com/communities/margate_ventnor_longport/absecon-island-beaches-to-get-even-more-sand-for-regular/article_9cf21ffa-f529-11e0-9f28-001cc4c03286.html,,,
Absecon Island: Atlantic City,NJ,2012,39.357595,-74.421816,Federal,Federal,Shore Protection,0.00,"1,325,000.00","21,015,965.00",0.964,"21,800,793.57",http://www.pressofatlanticcity.com/communities/margate_ventnor_longport/absecon-island-beaches-to-get-even-more-sand-for-regular/article_9cf21ffa-f529-11e0-9f28-001cc4c03286.html,,,
Absecon Island: Atlantic City,NJ,2013,39.357595,-74.421816,Federal,Federal,Emergency,"18,250.00","760,000.00","11,273,117.00",0.978,"11,526,704.50",https://www.fbo.gov/index?s=opportunity&mode=form&id=fdc21c12950cc39a6ae82e31f99136c8&tab=core&_cview=1,,,
Absecon Island: Longport,NJ,1990,39.312536,-74.523396,Federal,Federal,Shore Protection,0.00,"250,000.00","949,000.00",0.571,"1,661,996.50",,,,
Absecon Island: Ventnor,NJ,2004,39.337484,-74.475292,Federal,Federal,Shore Protection,"8,500.00","3,000,000.00","9,538,462.00",0.793,"12,028,325.35",http://www.pressofatlanticcity.com/communities/margate_ventnor_longport/absecon-island-beaches-to-get-even-more-sand-for-regular/article_9cf21ffa-f529-11e0-9f28-001cc4c03286.html,,,
Absecon Island: Ventnor,NJ,2011,39.337484,-74.475292,Federal,Federal,Emergency,"3,400.00","175,000.00","2,667,550.00",0.964,"2,767,168.05",http://www.pressofatlanticcity.com/communities/margate_ventnor_longport/absecon-island-beaches-to-get-even-more-sand-for-regular/article_9cf21ffa-f529-11e0-9f28-001cc4c03286.html,,,
Absecon Island: Ventnor,NJ,2012,39.337484,-74.475292,Federal,Federal,Shore Protection,0.00,"325,000.00","6,830,187.00",0.964,"7,085,256.22",http://www.pressofatlanticcity.com/communities/margate_ventnor_longport/absecon-island-beaches-to-get-even-more-sand-for-regular/article_9cf21ffa-f529-11e0-9f28-001cc4c03286.html,,,
Absecon Island: Ventnor,NJ,2014,39.337484,-74.475292,Federal,Federal,Emergency,,"340,000.00","6,061,143.00",0.994,"6,097,729.38",https://www.fbo.gov/index?s=opportunity&mode=form&id=fdc21c12950cc39a6ae82e31f99136c8&tab=core&_cview=1,,,
Agua Hedionda Lagoon,CA,2001,33.142818,-117.342201,Local,Local,Bypass,0.00,"429,000.00",0.00,0.746,0.00,http://www.sandag.org/uploads/projectid/projectid_101_16641.pdf,,,
Arcadian Shores,SC,1999,33.768957,-78.771844,Local,Local,Unknown,"4,780.00","446,000.00","4,093,218.00",0.699,"5,855,819.74",Shore and Beach Fall 2012,,,
Arcadian Shores,SC,2008,33.768957,-78.771844,Local,Local,Unknown,"6,400.00","331,574.00","4,097,223.00",0.904,"4,532,326.33",Shore and Beach Fall 2012,,,
Asbury Park,NJ,2014,40.210737,-74.002733,Federal,Federal,Shore Protection,"16,157.00","1,000,000.00","44,615,384.00",0.994,"44,884,692.15",,,,
Assataegue Island NS,MD,1998,38.282222,-75.117775,Federal,Federal,Emergency,"8,200.00","134,000.00","4,000,000.00",0.685,"5,839,416.06",http://el.erdc.usace.army.mil/workshops/05oct-dots/s2-Drucker.pdf,,,
Assataegue Island NS,MD,2004,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","70,094.00","2,000,000.00",0.793,"2,522,068.10",irmafiles.nps.gov/reference/holding/426861?accessType=DOWNLOAD,,,
Assataegue Island NS,MD,2004,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","56,352.00","2,000,000.00",0.793,"2,522,068.10",irmafiles.nps.gov/reference/holding/426861?accessType=DOWNLOAD,,,
Assataegue Island NS,MD,2005,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","25,108.00","2,000,000.00",0.820,"2,439,024.39",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2006,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","79,498.00","2,000,000.00",0.847,"2,361,275.09",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2006,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","34,978.00","2,000,000.00",0.847,"2,361,275.09",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
