location,state,year,lat,long,fund_source,fund_type,Length (ft),volume,Actual Cost,2013 CF$,cost_2013,$/CY,CY/Foot
Absecon Island: Longport,NJ,1990,39.312536,-74.523118,Federal,Navigation,0.00,250000.00,949000.00,0.56,1691622.10,3.80,#DIV/0!
Assateague Island,MD,1990,38.091337,-75.198026,Unknown,Unknown,0.00,49048.00,0.00,0.56,0.00,0.00,#DIV/0!
Avalon,NJ,1990,39.100226,-74.71055,Local,Unknown,2500.00,404000.00,600000.00,0.56,1069518.72,1.49,161.60
Brevard County: Sebastian Inlet (South Beaches),FL,1990,27.859054,-80.446873,State,Unknown,0.00,235000.00,735450.00,0.56,1310962.57,3.13,#DIV/0!
Collier County: Marco Island,FL,1990,25.935122,-81.733904,Unknown,Unknown,3400.00,120000.00,0.00,0.56,0.00,0.00,35.29
Debidue,SC,1990,33.361942,-79.151065,Private,Unknown,10032.00,200000.00,1000000.00,0.56,1782531.19,5.00,19.94
Duval County: Kathryn Abbey Hanna Park,FL,1990,30.369913,-81.397405,Federal,Navigation,0.00,422000.00,1788136.00,0.56,3187408.20,4.24,#DIV/0!
Emerald Isle Point,NC,1990,34.645027,-77.097867,Federal,Navigation,0.00,56000.00,0.00,0.56,0.00,0.00,#DIV/0!
Escambia County: Perdido Key,FL,1990,30.290515,-87.466578,Federal,Navigation,24544.00,5362597.00,12497578.00,0.56,22277322.64,2.33,218.49
Escambia County: Perdido Key,FL,1990,30.290515,-87.466578,Federal,Unknown,0.00,0.00,0.00,0.56,0.00,0.00,#DIV/0!
Folly Beach Spit,SC,1990,32.6504324,-79.96338,Federal,Navigation,1500.00,200000.00,500000.00,0.56,891265.60,2.50,133.33
Folly Beach Spit,SC,1990,32.6504324,-79.96338,Federal,Navigation,1500.00,40000.00,100000.00,0.56,178253.12,2.50,26.67
Garden City Beach,SC,1990,33.581876,-78.993073,Federal,Emergency,13200.00,163295.00,1640000.00,0.56,2923351.16,10.04,12.37
Gilgo Beach,NY,1990,40.617373,-73.397169,Federal,Navigation,14000.00,797000.00,4882000.00,0.56,8702317.29,6.13,56.93
Hempstead Beach,NY,1990,40.831541,-73.657837,Federal,Navigation,3000.00,353000.00,2403000.00,0.56,4283422.46,6.81,117.67
Hilton Head,SC,1990,32.236644,-80.677092,Local,Unknown,34848.00,2338000.00,9700000.00,0.56,17290552.58,4.15,67.09
Jones Beach,NY,1990,40.592448,-73.51244,Federal,Navigation,1000.00,388000.00,1644068.00,0.56,2930602.50,4.24,388.00
Long Beach Island: Harvey Cedars,NJ,1990,39.705998,-74.132245,Unknown,Unknown,0.00,27300.00,34957.00,0.56,62311.94,1.28,#DIV/0!
Miami-Dade County: Bal Harbour,FL,1990,25.893705,-80.121381,Federal,Shore Protection,4488.00,230000.00,4600000.00,0.56,8199643.49,20.00,51.25
Miami-Dade County: Sunny Isles,FL,1990,25.943072,-80.119085,Unknown,Unknown,0.00,30000.00,127119.00,0.56,226593.58,4.24,#DIV/0!
