location,state,year,lat,long,Primary Funding Source ,fund_source,fund_type,length,volume,actual_cost,2016 CF$,cost_2016,$/CY,CY/Foot,Other Funding Info,Source/Comment
Absecon Island: Atlantic City,NJ,1995,39.357595,-74.421816,State,State,Unknown,"5,280",0,0,0.641,0,,,,
Absecon Island: Atlantic City,NJ,1997,39.357595,-74.421816,State,State,Shore Protection,0,"450,000",0,0.676,0,,,,
Absecon Island: Atlantic City,NJ,2004,39.357595,-74.421816,Federal,Federal,Shore Protection,"18,250","4,000,000","27,384,615",0.793,"34,532,932",,,,
Absecon Island: Atlantic City,NJ,2011,39.357595,-74.421816,Federal,Federal,Emergency,"3,600","1,003,000","7,658,450",0.964,"7,944,450",http://www.pressofatlanticcity.com/communities/margate_ventnor_longport/absecon-island-beaches-to-get-even-more-sand-for-regular/article_9cf21ffa-f529-11e0-9f28-001cc4c03286.html,,,
Absecon Island: Atlantic City,NJ,2012,39.357595,-74.421816,Federal,Federal,Shore Protection,0,"1,325,000","21,015,965",0.964,"21,800,794",http://www.pressofatlanticcity.com/communities/margate_ventnor_longport/absecon-island-beaches-to-get-even-more-sand-for-regular/article_9cf21ffa-f529-11e0-9f28-001cc4c03286.html,,,
Absecon Island: Atlantic City,NJ,2013,39.357595,-74.421816,Federal,Federal,Emergency,"18,250","760,000","11,273,117",0.978,"11,526,704",https://www.fbo.gov/index?s=opportunity&mode=form&id=fdc21c12950cc39a6ae82e31f99136c8&tab=core&_cview=1,,,
Absecon Island: Longport,NJ,1990,39.312536,-74.523396,Federal,Federal,Shore Protection,0,"250,000","949,000",0.571,"1,661,996",,,,
Absecon Island: Ventnor,NJ,2004,39.337484,-74.475292,Federal,Federal,Shore Protection,"8,500","3,000,000","9,538,462",0.793,"12,028,325",http://www.pressofatlanticcity.com/communities/margate_ventnor_longport/absecon-island-beaches-to-get-even-more-sand-for-regular/article_9cf21ffa-f529-11e0-9f28-001cc4c03286.html,,,
Absecon Island: Ventnor,NJ,2011,39.337484,-74.475292,Federal,Federal,Emergency,"3,400","175,000","2,667,550",0.964,"2,767,168",http://www.pressofatlanticcity.com/communities/margate_ventnor_longport/absecon-island-beaches-to-get-even-more-sand-for-regular/article_9cf21ffa-f529-11e0-9f28-001cc4c03286.html,,,
Absecon Island: Ventnor,NJ,2012,39.337484,-74.475292,Federal,Federal,Shore Protection,0,"325,000","6,830,187",0.964,"7,085,256",http://www.pressofatlanticcity.com/communities/margate_ventnor_longport/absecon-island-beaches-to-get-even-more-sand-for-regular/article_9cf21ffa-f529-11e0-9f28-001cc4c03286.html,,,
Absecon Island: Ventnor,NJ,2014,39.337484,-74.475292,Federal,Federal,Emergency,0,"340,000","6,061,143",0.994,"6,097,729",https://www.fbo.gov/index?s=opportunity&mode=form&id=fdc21c12950cc39a6ae82e31f99136c8&tab=core&_cview=1,,,
Agua Hedionda Lagoon,CA,2001,33.142818,-117.342201,Local,Local,Bypass,0,"429,000",0,0.746,0,http://www.sandag.org/uploads/projectid/projectid_101_16641.pdf,,,
Arcadian Shores,SC,1999,33.768957,-78.771844,Local,Local,Unknown,"4,780","446,000","4,093,218",0.699,"5,855,820",Shore and Beach Fall 2012,,,
Arcadian Shores,SC,2008,33.768957,-78.771844,Local,Local,Unknown,"6,400","331,574","4,097,223",0.904,"4,532,326",Shore and Beach Fall 2012,,,
Asbury Park,NJ,2014,40.210737,-74.002733,Federal,Federal,Shore Protection,"16,157","1,000,000","44,615,384",0.994,"44,884,692",,,,
Assataegue Island NS,MD,1998,38.282222,-75.117775,Federal,Federal,Emergency,"8,200","134,000","4,000,000",0.685,"5,839,416",http://el.erdc.usace.army.mil/workshops/05oct-dots/s2-Drucker.pdf,,,
Assataegue Island NS,MD,2004,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","70,094","2,000,000",0.793,"2,522,068",irmafiles.nps.gov/reference/holding/426861?accessType=DOWNLOAD,,,
Assataegue Island NS,MD,2004,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","56,352","2,000,000",0.793,"2,522,068",irmafiles.nps.gov/reference/holding/426861?accessType=DOWNLOAD,,,
Assataegue Island NS,MD,2005,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","25,108","2,000,000",0.820,"2,439,024",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2006,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","79,498","2,000,000",0.847,"2,361,275",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2006,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","34,978","2,000,000",0.847,"2,361,275",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2007,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","86,322","2,000,000",0.871,"2,296,211",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2007,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","59,481","2,000,000",0.871,"2,296,211",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2008,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","40,793","2,000,000",0.904,"2,212,389",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2009,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","74,647","2,000,000",0.901,"2,219,756",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2009,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","37,610","2,000,000",0.901,"2,219,756",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2010,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","74,647","2,000,000",0.916,"2,183,406",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2010,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","37,610","2,000,000",0.916,"2,183,406",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2011,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","74,647","2,000,000",0.964,"2,074,689",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2011,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","37,610","2,000,000",0.964,"2,074,689",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2012,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","74,647","2,000,000",0.964,"2,074,689",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2012,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","37,610","2,000,000",0.964,"2,074,689",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2013,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","74,647","2,000,000",0.978,"2,044,990",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2013,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","37,610","2,000,000",0.978,"2,044,990",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2014,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","37,610","2,000,000",0.994,"2,012,072",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2015,38.289922,-75.112143,Federal,Federal,Restoration,"8,400","37,610","2,000,000",0.995,"2,010,050",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,1990,38.311412,-75.104113,Unknown,Unknown,Unknown,0,"49,048",0,0.571,0,,,,
Assataegue Island NS,MD,2002,38.311412,-75.104113,Federal,Federal,Shore Protection,"31,168","1,831,131","12,338,000",0.758,"16,277,045",http://www.nab.usace.army.mil/portals/63/docs/FactSheets/FY15_Factsheets/MD-AssateagueIsRestoration-CG.pdf,,,
Assataegue State Park,MD,2001,38.241134,-75.134628,State,State,Shore Protection,"3,200","100,000","78,000",0.746,"104,558",http://el.erdc.usace.army.mil/workshops/05oct-dots/s2-Drucker.pdf,,,
Atlantic Beach,NC,1994,34.697614,-76.737912,Federal,Federal,Navigation,"11,000","2,472,132","1,897,363",0.621,"3,055,335",http://www.carteretcountync.gov/DocumentCenter/View/2793,,,
Atlantic Beach,NC,2005,34.697614,-76.737912,Federal,Federal,Navigation,"20,000","2,390,000","10,231,000",0.820,"12,476,829",http://www.carteretcountync.gov/DocumentCenter/View/2807,,,
Atlantic Beach,NC,2011,34.697614,-76.737912,Federal,Federal,Navigation,"11,500","799,504","7,576,752",0.964,"7,859,701",http://www.carteretcountync.gov/DocumentCenter/View/2820,,,
Atlantic Beach,NC,2014,34.697614,-76.737912,Federal,Federal,Navigation,"4,000","522,518","4,441,403",0.994,"4,468,212",http://www.carteretcountync.gov/DocumentCenter/View/2825,,,
Atlantic Highlands,NJ,1994,40.441558,-74.098799,State,State,Unknown,0,"24,000",0,0.621,0,,,,
Atlantic Highlands,NJ,1999,40.441558,-74.098799,State,State,Unknown,0,"40,000",0,0.699,0,,,,
Atlantic Highlands,NJ,2002,40.441558,-74.098799,State,State,Unknown,0,"22,000",0,0.758,0,,,,
Avalon,NJ,2003,39.098428,-74.711459,Federal,Federal,Shore Protection,"6,260","1,300,000",0,0.775,0,,,,
Avalon,NJ,2005,39.098428,-74.711459,State,State,Unknown,"1,400","57,000",0,0.820,0,,,,
Avalon,NJ,2008,39.098428,-74.711459,Federal,Federal,Shore Protection,"2,600","225,000",0,0.904,0,,,,
Avalon,NJ,2010,39.098428,-74.711459,Federal,Federal,Emergency,"2,200","500,000","4,500,000",0.916,"4,912,664",,,,
Avalon,NJ,2011,39.098428,-74.711459,Federal,Federal,Emergency,"4,475","450,000","9,338,000",0.964,"9,686,722",,,,
Avalon,NJ,2013,39.098428,-74.711459,Federal,Federal,Emergency,0,"46,359","418,984",0.978,"428,409",https://www.fbo.gov/index?s=opportunity&mode=form&id=3db4c2b3c38c8e4035e5951a20691085&tab=core&_cview=1,,,
Avalon,NJ,2013,39.098428,-74.711459,Federal,Federal,Emergency,"5,000","75,000","2,150,543",0.978,"2,198,919",,,,
Avalon,NJ,1990,39.100226,-74.71055,Local,Local,Unknown,"2,500","404,000","600,000",0.571,"1,050,788",,,,
Avalon,NJ,1992,39.100226,-74.71055,Local,Local,Unknown,"3,000","410,000","1,188,000",0.588,"2,020,408",,,,
Avalon,NJ,1993,39.100226,-74.71055,Federal,Federal,Emergency,"2,800","239,000","1,777,193",0.606,"2,932,662",,,,
Avon by the Sea,NJ,2009,40.191791,-74.008713,Unknown,Unknown,Unknown,0,0,0,0.901,0,,,,
Bald Head Island,NC,2013,33.855876,-77.999067,Federal,Federal,Navigation,"12,000","1,800,000","15,234,166",0.978,"15,576,857",,,,
Bald Head Island,NC,2015,33.855876,-77.999067,Local,Local,Shore Protection,"9,000","1,400,000","8,000,000",0.995,"8,040,201",,,,
Bald Head Island,NC,1992,33.855876,-77.999067,Federal,Federal,Navigation,"12,300","800,000","900,000",0.588,"1,530,612",,,,
Bald Head Island,NC,1996,33.855876,-77.999067,Local,Local,Shore Protection,"13,000","715,000",0,0.658,0,,,,
Bald Head Island,NC,1997,33.855876,-77.999067,Local,Local,Shore Protection,0,"450,000",0,0.676,0,,,,
Bald Head Island,NC,2001,33.855876,-77.999067,Federal,Federal,Navigation,"16,000","1,849,000","7,077,000",0.746,"9,486,595",http://www.fws.gov/nc-es/pubs/fwca/wilmington/App_D_sand.pdf,,,
Bald Head Island,NC,2005,33.855876,-77.999067,Federal,Federal,Navigation,"16,000","1,217,000",0,0.820,0,,,,
Bald Head Island,NC,2006,33.855876,-77.999067,Local,Local,Shore Protection,0,"47,800",0,0.847,0,,,,
Bald Head Island,NC,2007,33.855876,-77.999067,Federal,Federal,Navigation,"16,000","978,500","8,780,000",0.871,"10,080,367",http://www.fws.gov/nc-es/pubs/fwca/wilmington/App_D_sand.pdf,,,
Bald Head Island,NC,2010,33.855876,-77.999067,Local,Local,Shore Protection,"16,200","1,800,000","17,000,000",0.916,"18,558,952",,,,
Bald Head Island,NC,2012,33.855876,-77.999067,Local,Local,Shore Protection,0,"140,000",0,0.964,0,,,,
Barataria Barrier Island Complex Project: Chaland Pass (BA-38),LA,2007,29.310212,-89.761895,Federal,Federal,Ecosystem Restoration,"16,368",0,"43,512,727",0.871,"49,957,207",http://lacoast.gov/new/Projects/Info.aspx?num=BA-38,,,
Barnegat Light,NJ,1991,39.764626,-74.105426,Federal,Federal,Navigation,0,"75,000","326,087",0.571,"571,081",,,,
Batiquitos,CA,2001,33.084654,-117.312599,Federal,Federal,Shore Protection,"1,500","117,000",0,0.746,0,http://www.sandag.org/uploads/projectid/projectid_101_16641.pdf,,,
Bay County: Panama City Beach,FL,1996,30.176314,-85.807965,Federal,Federal,Navigation,0,"98,990","272,223",0.658,"413,713","MORTON, D., 1996. Panama City Site Office, U.S. Army Corps of Engineers. Personal communication",,,
Bay County: Panama City Beach,FL,1999,30.176314,-85.807965,Federal,Federal,Shore Protection,"93,080","9,800,000","33,000,000",0.699,"47,210,300",http://www.fws.gov/panamacity/resources/PCB2011NourishmentFWSTable%20A22.pdf,,,
Bay County: Panama City Beach,FL,2006,30.176314,-85.807965,Federal,Federal,Emergency,"89,760","3,200,000","23,500,000",0.847,"27,744,982",http://www.fws.gov/panamacity/resources/PCB2011NourishmentFWSTable%20A22.pdf,,,
Bay County: Panama City Beach,FL,2011,30.176314,-85.807965,Federal,Federal,Emergency,"42,240","1,400,000","13,300,000",0.964,"13,796,680",http://www.fws.gov/panamacity/resources/PCB2011NourishmentFWSTable%20A22.pdf,,,
Bay County: Panama City Beach,FL,2017,30.176314,-85.807965,Local,Local,Emergency,"18,480","840,000","17,800,000",1.000,"17,800,000",https://www.visitpanamacitybeach.com/things-to-do/beaches/beach-renourishment/,,,
Beach Plum Island,DE,1994,38.799109,-75.178615,State,State,Unknown,0,"15,000",0,0.621,0,,,,
Beach Pocket Park No. 2,TX,1999,29.226502,-94.896963,Unknown,Unknown,Unknown,485,"1,200",0,0.699,0,,,,
Belmar/Spring Lake,NJ,1994,40.164707,-74.017319,State,State,Shore Protection,"1,180","70,000","6,000,000",0.621,"9,661,836",,,,
Benson Beach,WA,2002,46.354274,-124.06414,Federal,Federal,Unknown,0,"43,000","1,025,000",0.758,"1,352,243",,,,
Bermuda Beach Subdivision,TX,2001,29.214096,-94.917047,State,State,Unknown,"3,110","15,900","200,000",0.746,"268,097",,,,
